Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Hungary, Total water withdrawal",Hungary,Eastern Europe,348,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,4.35
"Iceland, GDP per capita",Iceland,Northern Europe,352,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"76,624.49"
"Iceland, Total dam capacity",Iceland,Northern Europe,352,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.31
"Iceland, Total population",Iceland,Northern Europe,352,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,339.03
"Iceland, Total renewable water resources",Iceland,Northern Europe,352,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,170
"Iceland, Total water withdrawal",Iceland,Northern Europe,352,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.28
"India, GDP per capita",India,Southern Asia,356,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,052.62"
"India, Total dam capacity",India,Southern Asia,356,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,247.46
"India, Total population",India,Southern Asia,356,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,366,417.75"
"India, Total renewable water resources",India,Southern Asia,356,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,910.90"
"India, Total water withdrawal",India,Southern Asia,356,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,761
"Indonesia, GDP per capita",Indonesia,South-eastern Asia,360,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,906.27"
"Indonesia, Total dam capacity",Indonesia,South-eastern Asia,360,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,24
"Indonesia, Total population",Indonesia,South-eastern Asia,360,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"270,625.57"
"Indonesia, Total renewable water resources",Indonesia,South-eastern Asia,360,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,018.70"
"Indonesia, Total water withdrawal",Indonesia,South-eastern Asia,360,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,222.64
"Iran (Islamic Republic of), GDP per capita",Iran (Islamic Republic of),Southern Asia,364,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"5,768.58"
"Iran (Islamic Republic of), Total dam capacity",Iran (Islamic Republic of),Southern Asia,364,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,44.44
"Iran (Islamic Republic of), Total population",Iran (Islamic Republic of),Southern Asia,364,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"82,913.91"
"Iran (Islamic Republic of), Total renewable water resources",Iran (Islamic Republic of),Southern Asia,364,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,137.05
"Iran (Islamic Republic of), Total water withdrawal",Iran (Islamic Republic of),Southern Asia,364,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,93.3
"Iraq, GDP per capita",Iraq,Western Asia,368,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"5,395.86"
"Iraq, Total dam capacity",Iraq,Western Asia,368,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,151.8
"Iraq, Total population",Iraq,Western Asia,368,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"39,309.78"
"Iraq, Total renewable water resources",Iraq,Western Asia,368,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,89.86
"Iraq, Total water withdrawal",Iraq,Western Asia,368,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,56.62
"Ireland, GDP per capita",Ireland,Northern Europe,372,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"79,661.62"
"Ireland, Total dam capacity",Ireland,Northern Europe,372,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.87
"Ireland, Total population",Ireland,Northern Europe,372,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"4,882.50"
"Ireland, Total renewable water resources",Ireland,Northern Europe,372,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,52
"Ireland, Total water withdrawal",Ireland,Northern Europe,372,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.43
"Israel, GDP per capita",Israel,Western Asia,376,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"43,841.83"
"Israel, Total population",Israel,Western Asia,376,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"8,519.38"
"Israel, Total renewable water resources",Israel,Western Asia,376,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.78
"Israel, Total water withdrawal",Israel,Western Asia,376,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,2.32
"Italy, GDP per capita",Italy,Southern Europe,380,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"35,163.57"
"Italy, Total dam capacity",Italy,Southern Europe,380,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,10.05
"Italy, Total population",Italy,Southern Europe,380,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"60,550.08"
"Italy, Total renewable water resources",Italy,Southern Europe,380,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,191.3
"Italy, Total water withdrawal",Italy,Southern Europe,380,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,34.19
"Jamaica, GDP per capita",Jamaica,Caribbean,388,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"5,421.06"
"Jamaica, Total dam capacity",Jamaica,Caribbean,388,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.01
"Jamaica, Total population",Jamaica,Caribbean,388,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"2,948.28"
"Jamaica, Total renewable water resources",Jamaica,Caribbean,388,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,10.82
"Jamaica, Total water withdrawal",Jamaica,Caribbean,388,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.35
"Japan, GDP per capita",Japan,Eastern Asia,392,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"39,087.24"
"Japan, Total dam capacity",Japan,Eastern Asia,392,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,31.47
"Japan, Total population",Japan,Eastern Asia,392,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"126,860.30"
"Japan, Total renewable water resources",Japan,Eastern Asia,392,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,430
"Japan, Total water withdrawal",Japan,Eastern Asia,392,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,79.1
"Jordan, GDP per capita",Jordan,Western Asia,400,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,264.12"
"Jordan, Total dam capacity",Jordan,Western Asia,400,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.27
"Jordan, Total population",Jordan,Western Asia,400,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"10,101.69"
"Jordan, Total renewable water resources",Jordan,Western Asia,400,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.94
"Jordan, Total water withdrawal",Jordan,Western Asia,400,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.1
"Kazakhstan, GDP per capita",Kazakhstan,Central Asia,398,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"9,744.69"
